ID salarié,Nom,Prénom,Date de naissance,BU,Date d'embauche,Salaire brut,Type de contrat,Nombre de jours de CP,Adresse du domicile,Moyen de déplacement
59019,Colin,Audrey,6/7/1990,Marketing,14/12/2020,30940,CDI,29,"128 Rue du Port, 34000 Frontignan",Transports en commun
19841,Ledoux,Monique,6/1/1962,R&D,7/7/2020,74360,CDI,26,"68 Rue du Port, 34970 Saint-Clément-de-Rivière",véhicule thermique/électrique
56482,Dumont,Michelle,9/8/1976,Ventes,29/3/2022,51390,CDI,27,"100 avenue de la Gare, 30900 Nîmes",véhicule thermique/électrique
21886,Toussaint,Judith,10/9/1962,Support,12/12/2021,70320,CDI,29,"53 avenue de la Gare, 34970 Lattes",Marche/running
81001,Bailly,Michelle,20/4/1975,Ventes,19/2/2025,46870,CDD,29,"74 Rue des Fleurs, 34970 Lattes",Marche/running
17757,Bazin,Margaret,24/11/1982,Support,17/4/2023,31460,CDI,25,"avenue de La Mer, 34470 Pérols",Vélo/Trottinette/Autres
17036,Jacques,Julien,19/12/1970,Marketing,21/8/2021,72480,CDI,29,"28 Rue du Port, 34140 Mèze",véhicule thermique/électrique
36913,Pons,Brigitte,27/12/1977,Finance,26/5/2020,59790,CDI,28,"169 Rue Jean Jaures, 34730 Prades-le-Lez",Transports en commun
79006,Rousset,Jérome,1/2/1979,R&D,7/9/2020,29240,CDI,28,"44 Rue Jean Jaures, 34730 Prades-le-Lez",véhicule thermique/électrique
62296,Chauvin,Zakaria,2/10/1987,Finance,23/11/2024,68680,CDD,26,"31 avenue Grassion Cibrand, 34130 Mauguio",Vélo/Trottinette/Autres
90284,Chartier,Aurélie,26/1/1999,Marketing,2/1/2025,56400,CDI,29,"136 Rue des Grottes, 34130 Mauguio",véhicule thermique/électrique
83440,Maillard,Augustin,5/3/1987,R&D,27/10/2023,31030,CDI,28,"38 Rue du Muscadet, 34090 Montpellier",Transports en commun
18246,Tessier,Francoise,11/11/1986,Ventes,11/1/2025,30680,CDI,28,"181 avenue de la Gare, 34970 Lattes",Vélo/Trottinette/Autres
33386,Neveu,Yves,18/11/1998,R&D,14/8/2020,50170,CDI,28,"24 Rue de la Cadoule, 34740 Vendargues",véhicule thermique/électrique
19773,Fischer,Benoit,31/3/1981,Support,24/3/2025,62670,CDI,25,"110 Rue de la République, 34000 Montpellier",véhicule thermique/électrique
70643,Rodriguez,Antoine,11/3/1982,Finance,12/1/2021,29440,CDI,26,"1037 Val des Sources, 34090 Montpellier",Vélo/Trottinette/Autres
25701,Foucher,Eugénie,25/4/1971,Finance,22/6/2021,56470,CDI,25,"63 Rue du Marché, 34800 Clermont-l'Hérault",véhicule thermique/électrique
99514,Olivier,Léon,1/3/1962,Support,2/2/2025,67110,CDI,29,"1 Rue Gerhardt, 34000 Montpellier",Transports en commun
43124,Laole,Francoise,1/7/1970,Ventes,25/5/2021,44040,CDI,28,"121 Bis Rue des Carignans, 34790 Grabels",véhicule thermique/électrique
56632,Evrard,Claire,3/5/1970,Finance,10/3/2021,62760,CDI,25,"70 avenue Jean Jaurès, 30900 Nîmes",véhicule thermique/électrique
28160,Humbert,Victor,26/4/1972,Marketing,28/9/2024,33620,CDI,25,"38 Plan des Arbousiers, 34970 Lattes",Vélo/Trottinette/Autres
15493,Devaux,Alice,21/12/1994,Support,6/12/2020,73720,CDI,28,"50 Boulevard de la Mer, 34880 La Grande-Motte",véhicule thermique/électrique
84233,Gauthier,Michelle,20/1/1989,Finance,29/12/2024,73160,CDI,26,"avenue de la Mer, Montpellier",Vélo/Trottinette/Autres
17997,Dias,Mathilde,15/10/1974,Support,2/4/2023,27040,CDI,27,"9 Rue Four des Flammes, 34000 Montpellier",véhicule thermique/électrique
48589,Lopez,Robert,23/8/1984,Marketing,14/7/2021,49610,CDI,25,"45 Rue de la République, 34000 Montpellier",Vélo/Trottinette/Autres
76341,Joubert,Claudine,15/8/1981,Finance,13/1/2023,43710,CDI,29,"57 avenue de la Liberté, 34070 Montpellier",Vélo/Trottinette/Autres
89943,Royer,Benjamin,10/12/1996,Finance,14/11/2020,65310,CDI,29,"40 Rue du Pradas, 34470 Pérols",Marche/running
46253,Blin,Léa,2/5/1975,Marketing,5/10/2020,43450,CDI,27,"32 Travenue de la Brigantine, 34970 Lattes",véhicule thermique/électrique
17376,Rey,Diane,18/9/1971,Finance,16/6/2022,69760,CDI,29,"1932 Ham. de Rabejac, 34700 Le Puech",véhicule thermique/électrique
22426,Poirier,Gabriel,5/11/1972,Ventes,29/12/2023,67610,CDI,26,"103 avenue de la Plage, 34450 Vias",véhicule thermique/électrique
34413,Aubert,Brigitte,24/5/1978,Ventes,15/7/2023,71040,CDI,25,"367 avenue Marcel Pagnol, 34470 Pérols",Marche/running
44472,Lemaire,Maurice,18/12/1973,Finance,26/11/2024,63860,CDI,29,"94 Rue Jean Jaurès, 34740 Vendargues",véhicule thermique/électrique
97309,Roussel,Charles,22/12/1978,Ventes,12/7/2020,73490,CDI,28,"51 avenue de La Mer, 34470 Pérols",véhicule thermique/électrique
39874,Rossi,Claire,5/5/1997,Support,28/3/2024,57460,CDD,27,"87 Rue du Marché, 34400 Lunel",véhicule thermique/électrique
92736,Lagarde,Alain,3/6/1983,Support,4/11/2021,43210,CDI,27,"187 chemin de la Draye du Marbre, 34170 Castelnau-le-Lez",Vélo/Trottinette/Autres
43015,Mendes,Juliette,22/10/1991,Support,6/3/2025,57040,CDI,26,"199-97 avenue du Pichagret, 34980 Saint-Gély-du-Fesc",véhicule thermique/électrique
71502,Louis,Mégane,28/1/1979,Finance,25/1/2023,33850,CDI,25,455 route de mendes 34000 Montpellier,Vélo/Trottinette/Autres
16872,Toussaint,Francoise,13/11/1999,Finance,26/1/2023,30560,CDI,27,"10 avenue Maréchal Leclerc, 34280 La Grande-Motte",Vélo/Trottinette/Autres
76771,Munoz,Andréa,17/1/1985,Ventes,12/2/2023,55670,CDI,29,"place de la Liberté, 34430 Saint-Jean-de-Védas",véhicule thermique/électrique
50408,Bonneau,Monique,27/4/1986,Support,22/2/2024,54710,CDD,27,"118 impasse des Vignes, 34470 Pérols",Marche/running
49804,Carlier,Constance,16/2/1976,R&D,2/9/2024,70060,CDI,25,"200 Rue du Stade, 34830 Clapiers",véhicule thermique/électrique
