id_salarie,nom,prenom,bu_equipe,salaire_brut,nombre_cp,adresse,moyen_de_deplacement,type_sport,distance_domicile_travail
56482,Dumont,Michelle,Ventes,51390,27,"100 avenue de la Gare, 30900 Nîmes",auto_moto,Tennis,49.25
17757,Bazin,Margaret,Support,31460,25,"avenue de La Mer, 34470 Pérols",velo_trot,Badminton,3.87
17036,Jacques,Julien,Marketing,72480,29,"28 Rue du Port, 34140 Mèze",auto_moto,Escalade,39.27
90284,Chartier,Aurélie,Marketing,56400,29,"136 Rue des Grottes, 34130 Mauguio",auto_moto,Randonnée,8.96
83440,Maillard,Augustin,R&D,31030,28,"38 Rue du Muscadet, 34090 Montpellier",transport,Triathlon,8.7
33386,Neveu,Yves,R&D,50170,28,"24 Rue de la Cadoule, 34740 Vendargues",auto_moto,Randonnée,14.01
25701,Foucher,Eugénie,Finance,56470,25,"63 Rue du Marché, 34800 Clermont-l'Hérault",auto_moto,Runing,52.45
43124,Laole,Francoise,Ventes,44040,28,"121 Bis Rue des Carignans, 34790 Grabels",auto_moto,Équitation,14.57
56632,Evrard,Claire,Finance,62760,25,"70 avenue Jean Jaurès, 30900 Nîmes",auto_moto,Voile,50.29
17997,Dias,Mathilde,Support,27040,27,"9 Rue Four des Flammes, 34000 Montpellier",auto_moto,Tennis de table,6.76
76341,Joubert,Claudine,Finance,43710,29,"57 avenue de la Liberté, 34070 Montpellier",velo_trot,Football,8.68
89943,Royer,Benjamin,Finance,65310,29,"40 Rue du Pradas, 34470 Pérols",a_pied,Randonnée,4.37
46253,Blin,Léa,Marketing,43450,27,"32 Travenue de la Brigantine, 34970 Lattes",auto_moto,Randonnée,2.63
22426,Poirier,Gabriel,Ventes,67610,26,"103 avenue de la Plage, 34450 Vias",auto_moto,Voile,66.46
44472,Lemaire,Maurice,Finance,63860,29,"94 Rue Jean Jaurès, 34740 Vendargues",auto_moto,Football,14.3
97309,Roussel,Charles,Ventes,73490,28,"51 avenue de La Mer, 34470 Pérols",auto_moto,Tennis,3.87
39874,Rossi,Claire,Support,57460,27,"87 Rue du Marché, 34400 Lunel",auto_moto,Tennis,32.14
49804,Carlier,Constance,R&D,70060,25,"200 Rue du Stade, 34830 Clapiers",auto_moto,Runing,10.17
37866,Gautier,Marine,R&D,50700,27,"4 avenue de la Paix, 34690 Fabrègues",transport,Natation,21.26
71190,Vallet,Andre,Finance,58580,26,"68 Rue du N, 34920 Le Crès",velo_trot,Badminton,10.63
36981,Schmitt,Jules,Marketing,42410,25,"47 avenue de la Gare, 34970 Lattes",a_pied,Natation,2.27
89328,Lambert,Denise,Ventes,38930,29,"8 Rue de la Vieille, 34000 Montpellier",velo_trot,Tennis de table,7.58
50309,Lacroix,Olivie,Support,32520,26,"76 avenue de la Plage, 34410 Sérignan",auto_moto,Runing,77.28
32690,Hamon,Paul,R&D,36430,29,"84 Rue du Port, 34470 Pérols",velo_trot,Badminton,8.06
17027,Boyer,Julie,Support,36180,25,"place Jean Jaurès, 34000 Montpellier",velo_trot,Tennis,7.09
99401,Pons,Yves,Ventes,66130,29,"20 avenue de la Paix, 34690 Fabrègues",auto_moto,Runing,21.26
86847,Arnaud,Jeremy,Support,29180,28,"139 avenue des Pins, 34150 Gignac",auto_moto,Football,37.0
53673,Ferrand,Julien,Finance,31700,26,"129 avenue de la Liberté, 34070 Montpellier",velo_trot,Voile,8.68
18918,Michaud,Naomie,Marketing,25610,27,"21 avenue du Port, 34540 Balaruc-les-Bains",auto_moto,Tennis,34.82
86633,Rodriguez,Léon,Support,27260,25,"140 allée des Vignes, 34280 La Grande-Motte",auto_moto,Runing,19.95
43542,Pendragon,Arthur,R&D,47370,26,"18 Rue des Arbousiers, 34230 Bélarga",auto_moto,Judo,48.43
44927,Fischer,Hugues,Ventes,62370,25,"143 Rue des Sansouïres, 34970 Lattes",velo_trot,Randonnée,7.4
76903,Lemaire,Victor,Finance,60670,26,"260 chemin du Pompage, 34800 Canet",auto_moto,Basketball,50.91
20697,Cousin,Antoine,Marketing,37620,27,"12 Rue William et Catherine Booth, 34070 Montpellier",auto_moto,Randonnée,13.25
37830,Toussaint,Alexandre,Ventes,28050,26,"18 Rue des Agapanthes, 34470 Pérols",transport,Randonnée,4.01
34678,Mendes,Astrid,Finance,59520,27,"32 avenue Jean - Louis Etienne, 34740 Vendargues",auto_moto,Randonnée,13.7
70575,Munoz,Charlene,R&D,43520,25,"138 Rue de la République, 30600 Vauvert",auto_moto,Randonnée,40.47
66882,Leleu,Guillaume,Finance,43860,28,"3 Rue Tadorne, 34140 Mèze",auto_moto,Judo,40.24
60358,Lesage,Mathilde,R&D,44830,28,"15 Rue de la République, 34000 Montpellier",velo_trot,Natation,5.52
50504,Fabre,Christiane,Finance,37910,26,"10 Rue du Marché aux Raisins, 34750 Villeneuve-lès-Maguelone",velo_trot,Escalade,11.38
56530,Morin,Francis,Ventes,51800,29,"124 Rue des Écoles, 34540 Balaruc-les-Bains",transport,Runing,34.95
45221,Georges,Bernard,Finance,34230,25,"215 Rue Alphonse Allais, 34070 Montpellier",velo_trot,Randonnée,6.33
86948,Boutin,Philippine,Finance,73110,27,"85 avenue de la Paix, 34690 Fabrègues",velo_trot,Tennis,21.26
34899,Besson,Hugues,Support,72360,28,"place de la Liberté, 34470 Pérols",a_pied,Football,4.58
